packet_no,timestamp,src_ip,dst_ip,src_port,dst_port,transport_proto,tcp_seq,tcp_flags,additional,bytes_transferred
1125,1728941764724,172.253.122.95,192.168.29.130,443,48888,TCP,1947039579,A,'',60
1126,1728941764734,23.47.27.153,192.168.29.130,443,52190,TCP,1002578831,SA,'',60
1127,1728941764734,192.168.29.130,23.47.27.153,52190,443,TCP,4136165703,A,'',54
1128,1728941764735,192.168.29.130,23.47.27.153,52190,443,TCP,4136165703,PA,'',713
1129,1728941764735,23.47.27.153,192.168.29.130,443,52190,TCP,1002578832,A,'',60
1130,1728941764737,146.75.29.140,192.168.29.130,443,35276,TCP,1435784952,PA,'',4245
1131,1728941764737,192.168.29.130,146.75.29.140,35276,443,TCP,148811926,A,'',54
1132,1728941764741,172.253.122.95,192.168.29.130,443,48888,TCP,1947039579,PA,'',85
1133,1728941764742,192.168.29.130,146.75.29.140,35276,443,TCP,148811926,PA,'',118
1134,1728941764742,146.75.29.140,192.168.29.130,443,35276,TCP,1435789143,A,'',60
1135,1728941764743,192.168.29.130,146.75.29.140,35276,443,TCP,148811990,PA,'',224
1136,1728941764743,192.168.29.130,146.75.29.140,35276,443,TCP,148812160,PA,'',470
1137,1728941764743,146.75.29.140,192.168.29.130,443,35276,TCP,1435789143,A,'',60
1138,1728941764743,146.75.29.140,192.168.29.130,443,35276,TCP,1435789143,A,'',60
1139,1728941764748,172.253.122.95,192.168.29.130,443,48888,TCP,1947039610,PA,'',635
1140,1728941764748,192.168.29.130,172.253.122.95,48888,443,TCP,251738925,PA,'',93
1141,1728941764748,172.253.122.95,192.168.29.130,443,48888,TCP,1947040191,A,'',60
1142,1728941764748,192.168.29.130,172.253.122.95,48888,443,TCP,251738964,PA,'',78
1143,1728941764748,192.168.29.130,172.253.122.95,48888,443,TCP,251738988,FA,'',54
1144,1728941764748,172.253.122.95,192.168.29.130,443,48888,TCP,1947040191,A,'',60
1145,1728941764748,172.253.122.95,192.168.29.130,443,48888,TCP,1947040191,A,'',60
1146,1728941764760,23.47.27.153,192.168.29.130,443,52190,TCP,1002578832,PA,'',4100
1147,1728941764760,192.168.29.130,23.47.27.153,52190,443,TCP,4136166362,A,'',54
1148,1728941764769,192.168.29.130,146.75.37.140,54824,443,TCP,2104512694,PA,'',494
1149,1728941764769,192.168.29.130,146.75.37.140,54824,443,TCP,2104513134,PA,'',370
1150,1728941764770,146.75.37.140,192.168.29.130,443,54824,TCP,396750879,A,'',60
1151,1728941764770,146.75.37.140,192.168.29.130,443,54824,TCP,396750879,A,'',60
1152,1728941764771,192.168.29.130,23.47.27.153,52190,443,TCP,4136166362,PA,'',134
1153,1728941764771,23.47.27.153,192.168.29.130,443,52190,TCP,1002582878,A,'',60
1154,1728941764771,172.253.122.95,192.168.29.130,443,48888,TCP,1947040191,FPA,'',60
1155,1728941764771,192.168.29.130,172.253.122.95,48888,443,TCP,251738989,A,'',54
1156,1728941764771,192.168.29.130,23.47.27.153,52190,443,TCP,4136166442,PA,'',224
1157,1728941764771,23.47.27.153,192.168.29.130,443,52190,TCP,1002582878,A,'',60
1158,1728941764775,192.168.29.130,146.75.29.140,35178,443,TCP,1337821203,PA,'',195
1159,1728941764775,146.75.29.140,192.168.29.130,443,35178,TCP,1321186321,A,'',60
1160,1728941764776,192.168.29.130,146.75.29.140,35178,443,TCP,1337821344,PA,'',89
1161,1728941764776,146.75.29.140,192.168.29.130,443,35178,TCP,1321186321,A,'',60
1162,1728941764780,146.75.29.140,192.168.29.130,443,35276,TCP,1435789143,PA,'',119
1163,1728941764781,192.168.29.130,146.75.29.140,35276,443,TCP,148812576,PA,'',85
1164,1728941764781,146.75.29.140,192.168.29.130,443,35276,TCP,1435789208,A,'',60
1165,1728941764782,146.75.29.140,192.168.29.130,443,35276,TCP,1435789208,PA,'',795
1166,1728941764782,146.75.29.140,192.168.29.130,443,35276,TCP,1435789949,PA,'',4230
1167,1728941764782,192.168.29.130,146.75.29.140,35276,443,TCP,148812607,A,'',54
1168,1728941764782,146.75.29.140,192.168.29.130,443,35276,TCP,1435794125,PA,'',4230
1169,1728941764782,192.168.29.130,146.75.29.140,35276,443,TCP,148812607,A,'',54
1170,1728941764783,192.168.29.130,146.75.37.140,54824,443,TCP,2104513450,PA,'',154
1171,1728941764783,192.168.29.130,146.75.37.140,54824,443,TCP,2104513550,PA,'',722
1172,1728941764783,146.75.37.140,192.168.29.130,443,54824,TCP,396750879,A,'',60
1173,1728941764783,146.75.37.140,192.168.29.130,443,54824,TCP,396750879,A,'',60
1174,1728941764785,146.75.29.140,192.168.29.130,443,35276,TCP,1435798301,PA,'',2838
1175,1728941764785,146.75.29.140,192.168.29.130,443,35276,TCP,1435801085,PA,'',4230
1176,1728941764785,192.168.29.130,146.75.29.140,35276,443,TCP,148812607,A,'',54
1177,1728941764785,192.168.29.130,146.75.29.140,35276,443,TCP,148812607,A,'',54
1178,1728941764785,146.75.29.140,192.168.29.130,443,35276,TCP,1435805261,PA,'',4230
1179,1728941764785,192.168.29.130,146.75.29.140,35276,443,TCP,148812607,A,'',54
1180,1728941764786,146.75.29.140,192.168.29.130,443,35276,TCP,1435809437,PA,'',1446
1181,1728941764786,192.168.29.130,146.75.37.140,54824,443,TCP,2104514218,PA,'',212
1182,1728941764786,146.75.37.140,192.168.29.130,443,54824,TCP,396750879,A,'',60
1183,1728941764787,146.75.29.140,192.168.29.130,443,35276,TCP,1435810829,PA,'',4230
1184,1728941764787,146.75.29.140,192.168.29.130,443,35276,TCP,1435815005,PA,'',2838
1185,1728941764787,192.168.29.130,146.75.29.140,35276,443,TCP,148812607,A,'',54
1186,1728941764787,192.168.29.130,146.75.29.140,35276,443,TCP,148812607,A,'',54
1187,1728941764787,146.75.29.140,192.168.29.130,443,35276,TCP,1435817789,PA,'',1446
1188,1728941764788,146.75.29.140,192.168.29.130,443,35276,TCP,1435819181,PA,'',2838
1189,1728941764788,146.75.29.140,192.168.29.130,443,35276,TCP,1435821965,PA,'',1446
1190,1728941764788,192.168.29.130,146.75.29.140,35276,443,TCP,148812607,A,'',54
1191,1728941764791,146.75.29.140,192.168.29.130,443,35276,TCP,1435823357,PA,'',1087
1192,1728941764791,192.168.29.130,146.75.29.140,35276,443,TCP,148812607,A,'',54
1193,1728941764799,146.75.29.140,192.168.29.130,443,35178,TCP,1321186321,PA,'',1552
1194,1728941764799,192.168.29.130,146.75.29.140,35178,443,TCP,1337821379,A,'',54
1195,1728941764799,146.75.29.140,192.168.29.130,443,35178,TCP,1321187819,PA,'',7014
1196,1728941764799,192.168.29.130,146.75.29.140,35178,443,TCP,1337821379,A,'',54
1197,1728941764799,146.75.29.140,192.168.29.130,443,35178,TCP,1321194779,PA,'',2345
1198,1728941764799,192.168.29.130,146.75.29.140,35178,443,TCP,1337821379,A,'',54
1199,1728941764820,192.168.29.130,146.75.29.140,35178,443,TCP,1337821379,PA,'',155
1200,1728941764820,146.75.29.140,192.168.29.130,443,35178,TCP,1321197070,A,'',60
1201,1728941764820,192.168.29.130,146.75.29.140,35178,443,TCP,1337821480,PA,'',147
1202,1728941764820,146.75.29.140,192.168.29.130,443,35178,TCP,1321197070,A,'',60
1203,1728941764821,192.168.29.130,146.75.29.140,35178,443,TCP,1337821573,PA,'',151
1204,1728941764821,146.75.29.140,192.168.29.130,443,35178,TCP,1321197070,A,'',60
1205,1728941764821,146.75.37.140,192.168.29.130,443,54824,TCP,396750879,PA,'',1890
1206,1728941764821,192.168.29.130,146.75.37.140,54824,443,TCP,2104514376,A,'',54
1207,1728941764821,192.168.29.130,146.75.29.140,35178,443,TCP,1337821670,PA,'',152
1208,1728941764821,146.75.29.140,192.168.29.130,443,35178,TCP,1321197070,A,'',60
1209,1728941764822,192.168.29.130,146.75.29.140,35178,443,TCP,1337821768,PA,'',153
1210,1728941764822,146.75.29.140,192.168.29.130,443,35178,TCP,1321197070,A,'',60
1211,1728941764822,192.168.29.130,146.75.29.140,35178,443,TCP,1337821867,PA,'',159
1212,1728941764822,146.75.29.140,192.168.29.130,443,35178,TCP,1321197070,A,'',60
1213,1728941764822,192.168.29.130,146.75.29.140,35178,443,TCP,1337821972,PA,'',148
1214,1728941764822,146.75.29.140,192.168.29.130,443,35178,TCP,1321197070,A,'',60
1215,1728941764823,146.75.37.140,192.168.29.130,443,54824,TCP,396752715,PA,'',2026
1216,1728941764823,192.168.29.130,146.75.37.140,54824,443,TCP,2104514376,A,'',54
1217,1728941764823,23.47.27.153,192.168.29.130,443,52190,TCP,1002582878,PA,'',628
1218,1728941764825,192.168.29.130,146.75.29.140,35178,443,TCP,1337822066,PA,'',89
1219,1728941764825,146.75.29.140,192.168.29.130,443,35178,TCP,1321197070,A,'',60
1220,1728941764826,192.168.29.130,146.75.29.140,35178,443,TCP,1337822101,PA,'',89
1221,1728941764826,146.75.29.140,192.168.29.130,443,35178,TCP,1321197070,A,'',60
1222,1728941764828,192.168.29.130,146.75.29.140,35178,443,TCP,1337822136,PA,'',89
1223,1728941764828,146.75.29.140,192.168.29.130,443,35178,TCP,1321197070,A,'',60
1224,1728941764828,192.168.29.130,146.75.29.140,35178,443,TCP,1337822171,PA,'',89
1225,1728941764828,146.75.29.140,192.168.29.130,443,35178,TCP,1321197070,A,'',60
1226,1728941764828,192.168.29.130,146.75.29.140,35178,443,TCP,1337822206,PA,'',89
1227,1728941764828,146.75.29.140,192.168.29.130,443,35178,TCP,1321197070,A,'',60
1228,1728941764829,192.168.29.130,146.75.29.140,35178,443,TCP,1337822241,PA,'',89
1229,1728941764829,146.75.29.140,192.168.29.130,443,35178,TCP,1321197070,A,'',60
1230,1728941764829,192.168.29.130,146.75.29.140,35178,443,TCP,1337822276,PA,'',89
1231,1728941764829,146.75.29.140,192.168.29.130,443,35178,TCP,1321197070,A,'',60
1232,1728941764830,23.47.27.153,192.168.29.130,443,52190,TCP,1002583452,PA,'',146
1233,1728941764830,192.168.29.130,23.47.27.153,52190,443,TCP,4136166612,PA,'',85
1234,1728941764831,23.47.27.153,192.168.29.130,443,52190,TCP,1002583544,A,'',60
1235,1728941764833,192.168.29.130,192.168.29.2,54308,53,UDP,N/A,N/A,'',83
1236,1728941764833,192.168.29.130,192.168.29.2,54308,53,UDP,N/A,N/A,'',83
1237,1728941764833,192.168.29.130,146.75.37.140,54824,443,TCP,2104514376,PA,'',381
1238,1728941764833,192.168.29.130,146.75.37.140,54824,443,TCP,2104514703,PA,'',337
1239,1728941764833,146.75.37.140,192.168.29.130,443,54824,TCP,396754687,A,'',60
1240,1728941764833,146.75.37.140,192.168.29.130,443,54824,TCP,396754687,A,'',60
1241,1728941764835,146.75.29.140,192.168.29.130,443,35178,TCP,1321197070,PA,'',1446
1242,1728941764836,146.75.29.140,192.168.29.130,443,35178,TCP,1321198462,PA,'',3304
1243,1728941764836,192.168.29.130,146.75.29.140,35178,443,TCP,1337822311,A,'',54
1244,1728941764841,146.75.37.140,192.168.29.130,443,54824,TCP,396754687,PA,'',1892
1245,1728941764841,192.168.29.130,146.75.37.140,54824,443,TCP,2104514986,A,'',54
1246,1728941764852,192.168.29.2,192.168.29.130,53,54308,UDP,N/A,N/A,'',134
1247,1728941764852,192.168.29.2,192.168.29.130,53,54308,UDP,N/A,N/A,'',156
1248,1728941764857,192.168.29.130,146.75.37.140,54846,443,TCP,734240958,S,'',74
1249,1728941764857,192.168.29.130,146.75.37.140,54824,443,TCP,2104514986,PA,'',171
1250,1728941764857,192.168.29.130,146.75.37.140,54824,443,TCP,2104515103,PA,'',572
1251,1728941764857,146.75.37.140,192.168.29.130,443,54824,TCP,396756525,A,'',60
1252,1728941764857,146.75.37.140,192.168.29.130,443,54824,TCP,396756525,A,'',60
1253,1728941764872,192.168.29.130,146.75.37.140,54824,443,TCP,2104515621,PA,'',366
1254,1728941764872,192.168.29.130,146.75.37.140,54824,443,TCP,2104515933,PA,'',89
1255,1728941764872,146.75.37.140,192.168.29.130,443,54824,TCP,396756525,A,'',60
1256,1728941764872,146.75.37.140,192.168.29.130,443,54824,TCP,396756525,A,'',60
1257,1728941764878,146.75.37.140,192.168.29.130,443,54846,TCP,957961948,SA,'',60
1258,1728941764879,192.168.29.130,146.75.37.140,54846,443,TCP,734240959,A,'',54
1259,1728941764880,192.168.29.130,146.75.37.140,54846,443,TCP,734240959,PA,'',725
1260,1728941764881,146.75.37.140,192.168.29.130,443,54846,TCP,957961949,A,'',60
1261,1728941764888,146.75.37.140,192.168.29.130,443,54824,TCP,396756525,PA,'',2152
1262,1728941764888,192.168.29.130,146.75.37.140,54824,443,TCP,2104515968,A,'',54
1263,1728941764899,146.75.37.140,192.168.29.130,443,54846,TCP,957961949,PA,'',1446
1264,1728941764899,192.168.29.130,146.75.37.140,54846,443,TCP,734241630,A,'',54
1265,1728941764899,146.75.37.140,192.168.29.130,443,54846,TCP,957963341,PA,'',2861
1266,1728941764899,192.168.29.130,146.75.37.140,54846,443,TCP,734241630,A,'',54
1267,1728941764904,146.75.37.140,192.168.29.130,443,54824,TCP,396758623,PA,'',305
1268,1728941764918,192.168.29.130,146.75.37.140,54846,443,TCP,734241630,PA,'',118
1269,1728941764918,146.75.37.140,192.168.29.130,443,54846,TCP,957966148,A,'',60
1270,1728941764919,192.168.29.130,146.75.37.140,54846,443,TCP,734241694,PA,'',241
1271,1728941764919,146.75.37.140,192.168.29.130,443,54846,TCP,957966148,A,'',60
1272,1728941764923,192.168.29.130,146.75.37.140,54846,443,TCP,734241881,PA,'',78
1273,1728941764923,192.168.29.130,146.75.37.140,54846,443,TCP,734241905,FA,'',54
1274,1728941764923,146.75.37.140,192.168.29.130,443,54846,TCP,957966148,A,'',60
1275,1728941764923,146.75.37.140,192.168.29.130,443,54846,TCP,957966148,A,'',60
1276,1728941764942,146.75.37.140,192.168.29.130,443,54846,TCP,957966148,FPA,'',78
1277,1728941764942,192.168.29.130,146.75.37.140,54846,443,TCP,734241906,R,'',54
1278,1728941764947,192.168.29.130,146.75.37.140,54824,443,TCP,2104515968,A,'',54
1279,1728941765159,192.168.29.130,146.75.37.140,54824,443,TCP,2104515968,PA,'',1675
1280,1728941765159,192.168.29.130,146.75.37.140,54824,443,TCP,2104517589,PA,'',482
1281,1728941765159,146.75.37.140,192.168.29.130,443,54824,TCP,396758874,A,'',60
1282,1728941765159,146.75.37.140,192.168.29.130,443,54824,TCP,396758874,A,'',60
1283,1728941765159,146.75.37.140,192.168.29.130,443,54824,TCP,396758874,A,'',60
1284,1728941765161,192.168.29.130,192.168.29.2,54998,53,UDP,N/A,N/A,'',74
1285,1728941765161,192.168.29.130,192.168.29.2,54998,53,UDP,N/A,N/A,'',74
1286,1728941765180,192.168.29.2,192.168.29.130,53,54998,UDP,N/A,N/A,'',170
1287,1728941765180,192.168.29.2,192.168.29.130,53,54998,UDP,N/A,N/A,'',186
1288,1728941765182,192.168.29.130,142.251.163.103,46006,443,UDP,N/A,N/A,'',1399
1289,1728941765182,192.168.29.130,192.168.29.2,36178,53,UDP,N/A,N/A,'',69
1290,1728941765182,192.168.29.130,192.168.29.2,36178,53,UDP,N/A,N/A,'',69
1291,1728941765201,142.251.163.103,192.168.29.130,443,46006,UDP,N/A,N/A,'',1399
1292,1728941765201,142.251.163.103,192.168.29.130,443,46006,UDP,N/A,N/A,'',1399
1293,1728941765201,142.251.163.103,192.168.29.130,443,46006,UDP,N/A,N/A,'',1399
1294,1728941765201,192.168.29.130,142.251.163.103,46006,443,UDP,N/A,N/A,'',84
1295,1728941765204,192.168.29.2,192.168.29.130,53,36178,UDP,N/A,N/A,'',142
1296,1728941765204,192.168.29.2,192.168.29.130,53,36178,UDP,N/A,N/A,'',130
1297,1728941765204,192.168.29.130,146.75.29.140,35276,443,TCP,148812607,PA,'',237
1298,1728941765204,192.168.29.130,146.75.29.140,35296,443,TCP,2306939503,S,'',74
1299,1728941765204,146.75.29.140,192.168.29.130,443,35276,TCP,1435824390,A,'',60
1300,1728941765205,146.75.37.140,192.168.29.130,443,54824,TCP,396758874,PA,'',1713
1301,1728941765205,192.168.29.130,146.75.37.140,54824,443,TCP,2104518017,A,'',54
1302,1728941765218,142.251.163.103,192.168.29.130,443,46006,UDP,N/A,N/A,'',1399
1303,1728941765218,142.251.163.103,192.168.29.130,443,46006,UDP,N/A,N/A,'',1399
1304,1728941765218,142.251.163.103,192.168.29.130,443,46006,UDP,N/A,N/A,'',1399
1305,1728941765218,142.251.163.103,192.168.29.130,443,46006,UDP,N/A,N/A,'',111
1306,1728941765219,192.168.29.130,142.251.163.103,46006,443,UDP,N/A,N/A,'',85
1307,1728941765221,192.168.29.130,192.168.29.2,43807,53,UDP,N/A,N/A,'',70
1308,1728941765221,192.168.29.130,192.168.29.2,43807,53,UDP,N/A,N/A,'',70
1309,1728941765221,146.75.29.140,192.168.29.130,443,35296,TCP,1390366115,SA,'',60
1310,1728941765221,192.168.29.130,146.75.29.140,35296,443,TCP,2306939504,A,'',54
1311,1728941765222,192.168.29.130,146.75.29.140,35296,443,TCP,2306939504,PA,'',711
1312,1728941765222,146.75.29.140,192.168.29.130,443,35296,TCP,1390366116,A,'',60
1313,1728941765225,146.75.29.140,192.168.29.130,443,35276,TCP,1435824390,PA,'',3308
1314,1728941765225,192.168.29.130,146.75.29.140,35276,443,TCP,148812790,A,'',54
1315,1728941765225,146.75.29.140,192.168.29.130,443,35276,TCP,1435827644,PA,'',4230
1316,1728941765225,192.168.29.130,146.75.29.140,35276,443,TCP,148812790,A,'',54
1317,1728941765226,146.75.29.140,192.168.29.130,443,35276,TCP,1435831820,PA,'',16711
1318,1728941765226,146.75.29.140,192.168.29.130,443,35276,TCP,1435848477,PA,'',4230
1319,1728941765226,192.168.29.130,146.75.29.140,35276,443,TCP,148812790,A,'',54
1320,1728941765226,146.75.29.140,192.168.29.130,443,35276,TCP,1435852653,PA,'',1446
1321,1728941765227,146.75.29.140,192.168.29.130,443,35276,TCP,1435854045,PA,'',4230
1322,1728941765227,192.168.29.130,146.75.29.140,35276,443,TCP,148812790,A,'',54
1323,1728941765227,146.75.29.140,192.168.29.130,443,35276,TCP,1435858221,PA,'',4230
1324,1728941765227,192.168.29.130,146.75.29.140,35276,443,TCP,148812790,A,'',54
1325,1728941765227,146.75.29.140,192.168.29.130,443,35276,TCP,1435862397,PA,'',4230
1326,1728941765227,192.168.29.130,146.75.29.140,35276,443,TCP,148812790,A,'',54
1327,1728941765227,146.75.29.140,192.168.29.130,443,35276,TCP,1435866573,PA,'',1446
1328,1728941765228,146.75.29.140,192.168.29.130,443,35276,TCP,1435867965,PA,'',4230
1329,1728941765228,192.168.29.130,146.75.29.140,35276,443,TCP,148812790,A,'',54
1330,1728941765228,146.75.29.140,192.168.29.130,443,35276,TCP,1435872141,PA,'',1446
1331,1728941765228,146.75.29.140,192.168.29.130,443,35276,TCP,1435873533,PA,'',2838
1332,1728941765228,192.168.29.130,146.75.29.140,35276,443,TCP,148812790,A,'',54
1333,1728941765228,146.75.29.140,192.168.29.130,443,35276,TCP,1435876317,PA,'',2838
1334,1728941765228,146.75.29.140,192.168.29.130,443,35276,TCP,1435879101,PA,'',1446
1335,1728941765228,192.168.29.130,146.75.29.140,35276,443,TCP,148812790,A,'',54
1336,1728941765228,146.75.29.140,192.168.29.130,443,35276,TCP,1435880493,PA,'',2838
1337,1728941765229,192.168.29.130,146.75.29.140,35276,443,TCP,148812790,A,'',54
1338,1728941765231,146.75.29.140,192.168.29.130,443,35276,TCP,1435883277,PA,'',1446
1339,1728941765231,146.75.29.140,192.168.29.130,443,35276,TCP,1435884669,PA,'',4230
1340,1728941765231,192.168.29.130,146.75.29.140,35276,443,TCP,148812790,A,'',54
1341,1728941765231,146.75.29.140,192.168.29.130,443,35276,TCP,1435888845,PA,'',4230
1342,1728941765231,192.168.29.130,146.75.29.140,35276,443,TCP,148812790,A,'',54
1343,1728941765231,146.75.29.140,192.168.29.130,443,35276,TCP,1435893021,PA,'',4230
1344,1728941765231,192.168.29.130,146.75.29.140,35276,443,TCP,148812790,A,'',54
1345,1728941765232,146.75.29.140,192.168.29.130,443,35276,TCP,1435897197,PA,'',2838
1346,1728941765232,192.168.29.130,146.75.29.140,35276,443,TCP,148812790,A,'',54
1347,1728941765237,146.75.29.140,192.168.29.130,443,35276,TCP,1435899981,PA,'',12582
1348,1728941765237,192.168.29.130,146.75.29.140,35276,443,TCP,148812790,A,'',54
1349,1728941765237,146.75.29.140,192.168.29.130,443,35276,TCP,1435912509,PA,'',5622
1350,1728941765237,192.168.29.130,146.75.29.140,35276,443,TCP,148812790,A,'',54
1351,1728941765237,146.75.29.140,192.168.29.130,443,35276,TCP,1435918077,PA,'',2838
1352,1728941765237,146.75.29.140,192.168.29.130,443,35276,TCP,1435920861,PA,'',2838
1353,1728941765237,146.75.29.140,192.168.29.130,443,35276,TCP,1435923645,PA,'',1446
1354,1728941765237,192.168.29.130,146.75.29.140,35276,443,TCP,148812790,A,'',54
1355,1728941765237,192.168.29.130,146.75.29.140,35276,443,TCP,148812790,A,'',54
1356,1728941765238,146.75.29.140,192.168.29.130,443,35276,TCP,1435925037,PA,'',1446
1357,1728941765238,192.168.29.130,146.75.29.140,35276,443,TCP,148812790,A,'',54
1358,1728941765239,146.75.29.140,192.168.29.130,443,35276,TCP,1435926429,PA,'',12582
1359,1728941765239,192.168.29.130,146.75.29.140,35276,443,TCP,148812790,A,'',54
1360,1728941765239,146.75.29.140,192.168.29.130,443,35276,TCP,1435938957,PA,'',4230
1361,1728941765239,192.168.29.130,146.75.29.140,35276,443,TCP,148812790,A,'',54
1362,1728941765239,146.75.29.140,192.168.29.130,443,35276,TCP,1435943133,PA,'',1446
1363,1728941765241,146.75.29.140,192.168.29.130,443,35276,TCP,1435944525,PA,'',4230
1364,1728941765241,146.75.29.140,192.168.29.130,443,35276,TCP,1435948701,PA,'',2838
1365,1728941765241,192.168.29.130,146.75.29.140,35276,443,TCP,148812790,A,'',54
1366,1728941765241,192.168.29.130,146.75.29.140,35276,443,TCP,148812790,A,'',54
1367,1728941765241,146.75.29.140,192.168.29.130,443,35276,TCP,1435951485,PA,'',1446
1368,1728941765241,146.75.29.140,192.168.29.130,443,35276,TCP,1435952877,PA,'',4230
1369,1728941765241,192.168.29.130,146.75.29.140,35276,443,TCP,148812790,A,'',54
1370,1728941765241,146.75.29.140,192.168.29.130,443,35276,TCP,1435957053,PA,'',4230
1371,1728941765241,192.168.29.130,146.75.29.140,35276,443,TCP,148812790,A,'',54
1372,1728941765241,146.75.29.140,192.168.29.130,443,35276,TCP,1435961229,PA,'',4230
1373,1728941765241,192.168.29.130,146.75.29.140,35276,443,TCP,148812790,A,'',54
1374,1728941765241,146.75.29.140,192.168.29.130,443,35276,TCP,1435965405,PA,'',1446
1375,1728941765242,146.75.29.140,192.168.29.130,443,35276,TCP,1435966797,PA,'',9798
1376,1728941765242,192.168.29.130,146.75.29.140,35276,443,TCP,148812790,A,'',54
1377,1728941765242,192.168.29.2,192.168.29.130,53,43807,UDP,N/A,N/A,'',133
1378,1728941765242,192.168.29.2,192.168.29.130,53,43807,UDP,N/A,N/A,'',121
1379,1728941765242,146.75.29.140,192.168.29.130,443,35276,TCP,1435976541,PA,'',4230
1380,1728941765242,192.168.29.130,146.75.29.140,35276,443,TCP,148812790,A,'',54
1381,1728941765242,146.75.29.140,192.168.29.130,443,35276,TCP,1435980717,PA,'',4230
1382,1728941765242,192.168.29.130,146.75.29.140,35276,443,TCP,148812790,A,'',54
1383,1728941765242,146.75.29.140,192.168.29.130,443,35276,TCP,1435984893,PA,'',1446
1384,1728941765242,146.75.29.140,192.168.29.130,443,35276,TCP,1435986285,PA,'',2838
1385,1728941765242,192.168.29.130,146.75.29.140,35276,443,TCP,148812790,A,'',54
1386,1728941765242,146.75.29.140,192.168.29.130,443,35276,TCP,1435989069,PA,'',4230
1387,1728941765242,192.168.29.130,146.75.29.140,35276,443,TCP,148812790,A,'',54
1388,1728941765242,146.75.29.140,192.168.29.130,443,35276,TCP,1435993245,PA,'',4230
1389,1728941765242,146.75.29.140,192.168.29.130,443,35276,TCP,1435997421,PA,'',4230
1390,1728941765242,192.168.29.130,146.75.29.140,35276,443,TCP,148812790,A,'',54
1391,1728941765242,146.75.29.140,192.168.29.130,443,35276,TCP,1436001597,PA,'',4230
1392,1728941765242,192.168.29.130,146.75.29.140,35276,443,TCP,148812790,A,'',54
1393,1728941765243,146.75.29.140,192.168.29.130,443,35276,TCP,1436005773,PA,'',1446
1394,1728941765243,146.75.29.140,192.168.29.130,443,35296,TCP,1390366116,PA,'',2838
1395,1728941765243,192.168.29.130,146.75.29.140,35296,443,TCP,2306940161,A,'',54
1396,1728941765243,146.75.29.140,192.168.29.130,443,35296,TCP,1390368900,PA,'',1461
1397,1728941765243,192.168.29.130,146.75.29.140,35296,443,TCP,2306940161,A,'',54
1398,1728941765245,146.75.29.140,192.168.29.130,443,35276,TCP,1436007165,PA,'',4230
1399,1728941765245,192.168.29.130,146.75.29.140,35276,443,TCP,148812790,A,'',54
1400,1728941765245,146.75.29.140,192.168.29.130,443,35276,TCP,1436011341,PA,'',2838
1401,1728941765245,192.168.29.130,146.75.29.140,35276,443,TCP,148812790,A,'',54
1402,1728941765245,146.75.29.140,192.168.29.130,443,35276,TCP,1436014125,PA,'',1446
1403,1728941765246,146.75.29.140,192.168.29.130,443,35276,TCP,1436015517,PA,'',4230
1404,1728941765246,192.168.29.130,146.75.29.140,35276,443,TCP,148812790,A,'',54
1405,1728941765246,146.75.29.140,192.168.29.130,443,35276,TCP,1436019693,PA,'',2838
1406,1728941765246,192.168.29.130,146.75.29.140,35276,443,TCP,148812790,A,'',54
1407,1728941765248,192.168.29.130,192.168.29.2,54667,53,UDP,N/A,N/A,'',79
1408,1728941765248,192.168.29.130,192.168.29.2,54667,53,UDP,N/A,N/A,'',79
1409,1728941765256,192.168.29.130,142.251.16.94,52400,80,TCP,1906819113,S,'',74
1410,1728941765259,146.75.29.140,192.168.29.130,443,35276,TCP,1436022477,PA,'',2838
1411,1728941765259,146.75.29.140,192.168.29.130,443,35276,TCP,1436025261,PA,'',4230
1412,1728941765259,192.168.29.130,146.75.29.140,35276,443,TCP,148812790,A,'',54
1413,1728941765259,192.168.29.130,146.75.29.140,35276,443,TCP,148812790,A,'',54
1414,1728941765259,146.75.29.140,192.168.29.130,443,35276,TCP,1436029437,PA,'',1446
1415,1728941765259,146.75.29.140,192.168.29.130,443,35276,TCP,1436030829,PA,'',4230
1416,1728941765259,192.168.29.130,146.75.29.140,35276,443,TCP,148812790,A,'',54
1417,1728941765259,146.75.29.140,192.168.29.130,443,35276,TCP,1436035005,PA,'',4230
1418,1728941765259,192.168.29.130,146.75.29.140,35276,443,TCP,148812790,A,'',54
1419,1728941765259,146.75.29.140,192.168.29.130,443,35276,TCP,1436039181,PA,'',4230
1420,1728941765259,192.168.29.130,146.75.29.140,35276,443,TCP,148812790,A,'',54
1421,1728941765259,146.75.29.140,192.168.29.130,443,35276,TCP,1436043357,PA,'',2838
1422,1728941765259,192.168.29.130,146.75.29.140,35276,443,TCP,148812790,A,'',54
1423,1728941765259,146.75.29.140,192.168.29.130,443,35276,TCP,1436046141,PA,'',1446
1424,1728941765260,146.75.29.140,192.168.29.130,443,35276,TCP,1436047533,PA,'',2268
1425,1728941765260,192.168.29.130,146.75.29.140,35276,443,TCP,148812790,A,'',54
1426,1728941765260,192.168.29.2,192.168.29.130,53,54667,UDP,N/A,N/A,'',95
1427,1728941765265,192.168.29.130,142.251.163.103,46006,443,UDP,N/A,N/A,'',82
1428,1728941765266,192.168.29.130,142.251.163.103,46006,443,UDP,N/A,N/A,'',82
1429,1728941765266,192.168.29.130,146.75.29.140,35296,443,TCP,2306940161,PA,'',118
